Fecha,Precio
15/7/2019,24.38
16/7/2019,24.23
17/7/2019,24.26
20/7/2019,24.32
21/7/2019,24.89
22/7/2019,23.55
23/7/2019,23.79
24/7/2019,23.95
27/7/2019,23.75
28/7/2019,23.98
29/7/2019,24.59
30/7/2019,24.86
31/7/2019,24.8
3/8/2019,24.95
4/8/2019,25.2
5/8/2019,25.07
6/8/2019,25.33
7/8/2019,25.42
10/8/2019,25.32
11/8/2019,25.61
12/8/2019,25.48
13/8/2019,25.48
14/8/2019,25.56
17/8/2019,25.86
18/8/2019,25.91
19/8/2019,26.08
20/8/2019,25.87
21/8/2019,26.25
